"Agency","Product_ID","Client_ID","Sales_Amount","Sales"
"114","1002","2004",283,47906
"114","1004","2004",311,31805
"114","1008","2004",1193,144652
"114","1012","2004",435,24431
"114","1016","2004",385,61235
"114","1017","2004",250,32045
"114","1018","2004",274,25236
"101","1002","2003",591,51733
"101","1004","2003",572,63566
"101","1007","2003",185,20752
"101","1008","2003",816,97340
"101","1016","2003",816,59006
"101","1017","2003",280,30538
"101","1018","2003",97,9095
"101","1002","2003",362,44457
"101","1004","2003",378,53284
"101","1007","2003",155,29822
"101","1008","2003",1076,145071
"101","1016","2003",586,33144
"101","1017","2003",367,35373
"101","1018","2003",114,9913
"101","1002","2003",676,72045
"101","1004","2003",527,83656
"101","1007","2003",150,17998
"101","1008","2003",774,63294
"101","1016","2003",825,59699
"101","1017","2003",222,23710
"101","1018","2003",150,11361
"101","1002","2003",327,43957
"101","1004","2003",372,47990
"101","1007","2003",282,23817
"101","1008","2003",1619,114567
"101","1016","2003",317,28384
